257.9	2.28814	25.51963	50.20685	77.80554	107.57469	129.98631	137.10800	136.17685	136.15808	137.76005	139.62690	140.73185	141.36445	142.03026	142.78267	143.56205	144.32141	145.06442
258	2.28334	25.49253	50.15790	77.73563	107.48470	129.87522	136.97480	136.02987	136.01359	137.62724	139.50415	140.60990	141.23914	141.90411	142.65841	143.44093	144.20352	144.94968
258.1	2.27880	25.46564	50.10903	77.66554	107.39411	129.76327	136.84085	135.88242	135.86882	137.49425	139.38124	140.48778	141.11368	141.77788	142.53410	143.31977	144.08551	144.83468
258.2	2.27455	25.43898	50.06027	77.59527	107.30291	129.65046	136.70626	135.73470	135.72393	137.36111	139.25811	140.36545	140.98807	141.65158	142.40980	143.19861	143.96738	144.71938
258.3	2.27059	25.41257	50.01162	77.52481	107.21108	129.53682	136.57118	135.58694	135.57909	137.22784	139.13469	140.24284	140.86231	141.52525	142.28553	143.07745	143.84911	144.60375
258.4	2.26692	25.38639	49.96306	77.45415	107.11860	129.42237	136.43574	135.43934	135.43445	137.09449	139.01091	140.11988	140.73638	141.39891	142.16132	142.95632	143.73071	144.48774
258.5	2.26356	25.36048	49.91465	77.38331	107.02546	129.30712	136.30006	135.29212	135.29016	136.96106	138.88670	139.99652	140.61028	141.27258	142.03720	142.83522	143.61216	144.37133
258.6	2.26052	25.33485	49.86637	77.31228	106.93166	129.19111	136.16429	135.14549	135.14638	136.82760	138.76199	139.87271	140.48402	141.14631	141.91321	142.71417	143.49344	144.25446
258.7	2.25780	25.30950	49.81825	77.24107	106.83717	129.07435	136.02857	134.99967	135.00328	136.69412	138.63671	139.74836	140.35758	141.02012	141.78938	142.59320	143.37456	144.13710
258.8	2.25542	25.28447	49.77029	77.16968	106.74199	128.95687	135.89301	134.85487	134.86100	136.56067	138.51080	139.62343	140.23096	140.89403	141.66573	142.47230	143.25549	144.01922
258.9	2.25337	25.25974	49.72251	77.09811	106.64610	128.83869	135.75777	134.71129	134.71969	136.42724	138.38417	139.49785	140.10417	140.76809	141.54232	142.35151	143.13624	143.90077
259	2.25165	25.23533	49.67494	77.02638	106.54950	128.71983	135.62296	134.56916	134.57952	136.29389	138.25677	139.37156	139.97718	140.64230	141.41914	142.23083	143.01679	143.78172
259.1	2.25023	25.21124	49.62756	76.95448	106.45218	128.60031	135.48873	134.42869	134.44065	136.16062	138.12851	139.24450	139.85001	140.51672	141.29627	142.11029	142.89713	143.66203
259.2	2.24910	25.18747	49.58039	76.88242	106.35412	128.48015	135.35521	134.29009	134.30323	136.02749	137.99934	139.11662	139.72265	140.39136	141.17370	141.98989	142.77727	143.54168
259.3	2.24823	25.16400	49.53344	76.81020	106.25533	128.35939	135.22249	134.15350	134.16735	135.89447	137.86918	138.98785	139.59508	140.26622	141.05146	141.86965	142.65722	143.42070
259.4	2.24760	25.14082	49.48668	76.73783	106.15584	128.23804	135.09054	134.01882	134.03288	135.76146	137.73796	138.85817	139.46732	140.14136	140.92957	141.74959	142.53699	143.29912
259.5	2.24721	25.11792	49.44012	76.66531	106.05567	128.11611	134.95926	133.88585	133.89964	135.62834	137.60564	138.72756	139.33935	140.01673	140.80804	141.62973	142.41664	143.17698
259.6	2.24701	25.09525	49.39372	76.59265	105.95488	127.99365	134.82857	133.75440	133.76745	135.49503	137.47223	138.59605	139.21117	139.89235	140.68685	141.51007	142.29617	143.05432
259.7	2.24701	25.07280	49.34745	76.51984	105.85350	127.87066	134.69838	133.62430	133.63617	135.36151	137.33778	138.46367	139.08278	139.76819	140.56602	141.39065	142.17562	142.93117
259.8	2.24717	25.05054	49.30132	76.44690	105.75157	127.74717	134.56858	133.49534	133.50564	135.22772	137.20233	138.33047	138.95417	139.64423	140.44553	141.27146	142.05501	142.80757
